target,init_time,stratum,tcwv,tcwv_pct,precip,precip_pct,month,resid_rms,resid_mean,resid_std
alps_east,2022-07-23T12:00:00,extreme,29.26132583618164,97.17741935483872,,,7,21.199395179748535,-16.43228769302368,13.244403839111328
alps_east,2020-02-24T12:00:00,extreme,15.027361869812012,97.34513274336283,,,2,11.673539638519287,-8.607169151306152,7.8685126304626465
valais,2020-12-10T12:00:00,low,5.002617835998535,22.58064516129032,,,12,11.778639793395996,-7.619246006011963,8.980979442596436
valais,2021-12-14T00:00:00,low,4.587827205657959,18.14516129032258,,,12,17.966941833496094,-13.804253101348877,11.486817836761475
valais,2020-09-02T00:00:00,low,12.020362854003906,20.416666666666668,,,9,19.375285148620605,-11.429457187652588,15.644451141357422
valais,2022-03-11T12:00:00,typical,6.413374423980713,49.596774193548384,,,3,13.501967430114746,-10.940141201019287,7.890192031860352
valais,2022-06-17T12:00:00,typical,17.562314987182617,60.0,,,6,21.5436429977417,-12.324024677276611,17.587621688842773
valais,2021-05-01T00:00:00,typical,12.93921947479248,58.06451612903226,,,5,16.10439109802246,-7.061123609542847,14.472723484039307
valais,2021-02-19T00:00:00,humid,9.726483345031738,83.1858407079646,,,2,14.092069149017334,-9.826660871505737,9.960927963256836
valais,2020-04-25T12:00:00,humid,11.821131706237793,84.16666666666667,,,4,15.043332576751709,-8.051354169845581,12.69605827331543
valais,2020-09-12T12:00:00,humid,18.900789260864258,75.41666666666667,,,9,25.622724533081055,-13.157917976379395,21.95909881591797
valais,2020-05-10T00:00:00,extreme,19.388484954833984,98.38709677419355,,,5,18.325581550598145,-6.536994934082031,17.118824005126953
valais,2021-06-20T12:00:00,extreme,24.712135314941406,95.83333333333334,,,6,27.96510410308838,-15.487059116363525,23.26879119873047
valais,2021-05-10T12:00:00,extreme,18.814355850219727,96.7741935483871,,,5,18.612974166870117,-8.388426303863525,16.60731077194214
pyrenees,2021-03-25T12:00:00,low,9.492870330810547,29.435483870967744,,,3,14.599434852600098,-9.299689292907715,11.236029148101807
pyrenees,2023-05-13T12:00:00,low,14.910623550415039,28.225806451612907,,,5,14.73078203201294,-5.115806579589844,13.806861400604248
pyrenees,2021-11-18T12:00:00,low,10.217581748962402,26.25,,,11,14.842681884765625,-8.567960262298584,12.117160320281982
pyrenees,2020-05-07T12:00:00,typical,16.450157165527344,43.145161290322584,,,5,17.461807250976562,-6.654622316360474,16.140626430511475
pyrenees,2022-08-23T12:00:00,typical,25.489290237426758,56.85483870967742,,,8,27.07781982421875,-13.109629154205322,23.691899299621582
pyrenees,2020-02-08T12:00:00,typical,9.60293197631836,52.21238938053098,,,2,13.471784591674805,-9.222930908203125,9.77745532989502
pyrenees,2020-08-02T12:00:00,humid,27.698101043701172,73.79032258064517,,,8,23.567943572998047,-9.22599744796753,21.685924530029297
pyrenees,2022-06-30T00:00:00,humid,24.87689781188965,74.16666666666667,,,6,20.295687675476074,-4.4894936084747314,19.788697242736816
pyrenees,2023-03-07T12:00:00,humid,15.557015419006348,86.69354838709677,,,3,11.225047588348389,-2.0205217003822327,10.508878707885742
pyrenees,2021-01-29T00:00:00,extreme,16.273162841796875,95.16129032258065,,,1,17.426222801208496,-8.394272089004517,15.261912822723389
pyrenees,2023-06-22T00:00:00,extreme,29.633930206298828,95.41666666666667,,,6,28.922164916992188,-12.580463409423828,25.895079612731934
pyrenees,2022-03-15T00:00:00,extreme,17.66120147705078,95.16129032258065,,,3,13.703577995300293,-5.307115197181702,12.509918212890625
atlas,2023-08-01T00:00:00,low,16.74945068359375,27.82258064516129,,,8,14.05812406539917,-7.341112852096558,11.988795757293701
atlas,2022-08-07T12:00:00,low,15.542804718017578,17.338709677419356,,,8,13.843533515930176,-3.7755075693130493,13.257969856262207
