target,init_time,stratum,tcwv,tcwv_pct,precip,precip_pct,month,resid_rms,resid_mean,resid_std
aquitaine_basin,2020-12-03T00:00:00,typical,12.150351524353027,45.16129032258064,,,12,6.58162260055542,-5.908592224121094,2.89649760723114
aquitaine_basin,2023-10-21T00:00:00,typical,17.626998901367188,41.12903225806452,,,10,6.743210077285767,5.776962995529175,3.460798978805542
aquitaine_basin,2021-07-27T00:00:00,typical,26.438547134399414,58.87096774193549,,,7,8.681213855743408,-7.356797456741333,4.567846179008484
aquitaine_basin,2022-03-31T00:00:00,humid,15.133781433105469,70.16129032258065,,,3,3.0501381158828735,1.4106040447950363,2.57370924949646
aquitaine_basin,2023-09-30T12:00:00,humid,28.131738662719727,74.58333333333333,,,9,8.294605016708374,-1.7863346934318542,7.600504636764526
aquitaine_basin,2022-10-27T00:00:00,humid,25.585248947143555,83.06451612903226,,,10,4.433670401573181,-2.1580930054187775,3.6919199228286743
aquitaine_basin,2022-12-31T00:00:00,extreme,23.295814514160156,95.56451612903226,,,12,6.670250177383423,-5.712992429733276,3.4429502487182617
aquitaine_basin,2022-02-17T12:00:00,extreme,20.200218200683594,95.57522123893806,,,2,8.618773460388184,-7.500883102416992,4.198631405830383
aquitaine_basin,2020-02-10T00:00:00,extreme,22.09613800048828,97.34513274336283,,,2,3.7596160173416138,-0.806781514082104,3.5925244092941284
caspian_lowland,2020-10-02T12:00:00,low,9.582645416259766,17.338709677419356,,,10,6.528264999389648,-4.116144895553589,4.854361176490784
caspian_lowland,2021-11-12T00:00:00,low,6.975689888000488,12.916666666666668,,,11,1.9113879203796387,0.4132077768445015,1.8488698601722717
caspian_lowland,2020-08-09T12:00:00,low,18.014856338500977,14.919354838709678,,,8,4.161706566810608,1.024079300230369,3.9550994634628296
caspian_lowland,2022-04-06T12:00:00,typical,15.479135513305664,60.0,,,4,6.973796367645264,2.1053563952445984,6.628328084945679
caspian_lowland,2022-05-22T12:00:00,typical,19.97972869873047,48.79032258064516,,,5,4.599693179130554,0.17056265473365784,4.4117008447647095
caspian_lowland,2021-07-02T00:00:00,typical,25.70673370361328,43.145161290322584,,,7,4.298105597496033,-0.8692121803760529,4.203607439994812
caspian_lowland,2021-06-10T12:00:00,humid,31.762784957885742,88.33333333333333,,,6,4.2968844175338745,1.1777128800749779,3.9577739238739014
caspian_lowland,2020-05-31T00:00:00,humid,23.30719566345215,72.58064516129032,,,5,8.9542236328125,7.094300031661987,5.438248634338379
caspian_lowland,2020-12-16T12:00:00,humid,15.320534706115723,88.70967741935483,,,12,7.9782631397247314,6.314692258834839,4.85977840423584
caspian_lowland,2020-08-03T00:00:00,extreme,35.38681411743164,98.79032258064517,,,8,5.028717994689941,1.4297809600830078,4.0019752979278564
caspian_lowland,2021-05-26T12:00:00,extreme,30.399127960205078,95.16129032258065,,,5,4.3214805126190186,-0.9244609102606773,4.100434899330139
caspian_lowland,2021-04-27T00:00:00,extreme,26.35602378845215,98.75,,,4,5.374373197555542,4.716977834701538,2.446399986743927
amazon_interior,2021-04-27T12:00:00,low,55.18325424194336,23.333333333333332,,,4,5.5314695835113525,-0.8201634138822556,5.350286483764648
amazon_interior,2023-06-22T12:00:00,low,45.78249740600586,23.333333333333332,,,6,8.503963470458984,5.872706890106201,5.9312310218811035
amazon_interior,2022-05-23T00:00:00,low,50.136287689208984,15.32258064516129,,,5,6.25287938117981,4.691305994987488,4.090964913368225
amazon_interior,2020-07-27T00:00:00,typical,44.42395782470703,45.96774193548387,,,7,8.348131656646729,5.52205228805542,5.98946475982666
amazon_interior,2022-11-25T12:00:00,typical,55.36768341064453,57.08333333333333,,,11,5.289731502532959,-1.463090717792511,4.48123836517334
amazon_interior,2020-03-17T12:00:00,typical,57.549835205078125,57.25806451612904,,,3,4.825681924819946,0.26727163791656494,4.5715858936309814
amazon_interior,2020-07-04T12:00:00,humid,48.990962982177734,80.24193548387096,,,7,5.315899848937988,1.97606360912323,4.921586513519287
amazon_interior,2022-03-25T12:00:00,humid,58.47481155395508,70.56451612903226,,,3,3.6791651248931885,-1.0004336833953857,3.3312734365463257
amazon_interior,2023-02-16T00:00:00,humid,59.57848358154297,84.070796460177,,,2,7.358797550201416,-5.672916412353516,4.292789578437805
amazon_interior,2020-10-27T00:00:00,extreme,58.53703308105469,98.38709677419355,,,10,15.55939769744873,-13.975771427154541,6.832609415054321
