case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,stage_name,family,stage_index,n_blocks,plus_delta_rms_mean,minus_delta_rms_mean,contrast_rms_mean,common_rms_mean,signed_cosine_mean,contrast_share_mean,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,dec_s1,decoder,1,10,0.0036048795562237503,0.0038362872553989293,0.0026068920851685107,0.00265937295043841,-0.020123679197021606,0.49520365374704484,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,dec_s2,decoder,2,6,0.01123739251246055,0.012918307756384214,0.009439831910034021,0.007581385318189859,0.2552058530951818,0.5546882331086594,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,enc_s0,encoder,0,6,0.002246171080817779,0.0005166408130511021,0.0011003943412409474,0.0012049344756330054,-0.20433428453637856,0.4755746576892554,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,enc_s1,encoder,1,10,0.001833145192358643,0.001309279422275722,0.000873524765484035,0.0013409685052465647,-0.3592390891363733,0.41517325310453074,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,enc_s2,encoder,2,8,0.0008643560722703114,0.0007305432154680602,0.00043186461698496714,0.0006737313451594673,-0.42864236463478445,0.3907204956917637,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,dec_s0,decoder,0,8,0.0014681888278573751,0.0013405360805336386,0.0007337549250223674,0.0011991635619779117,-0.4635320992023681,0.3799761005712119,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,dec_s1,decoder,1,10,0.00245629558339715,0.0023906999500468372,0.0012270593841094523,0.0020901587093248965,-0.5016454148339887,0.37014452918882956,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,dec_s2,decoder,2,6,0.007357159862294793,0.00612858310341835,0.0036663475524013243,0.005696216986204187,-0.4514877035375415,0.3907719568159782,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,enc_s0,encoder,0,6,0.008378891584773859,0.007331071188673377,0.007557052420452237,0.0022040554128276804,0.8567188326885272,0.7739784685222181,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,enc_s1,encoder,1,10,0.007767728064209223,0.004454806889407336,0.005252438085153699,0.003491882258094847,0.4864121130019764,0.6120625565074641,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,enc_s2,encoder,2,8,0.004003553796792403,0.00210290594259277,0.002612066047731787,0.0018447728361934423,0.4181966227400802,0.5864215327968142,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,dec_s0,decoder,0,8,0.006070319504942745,0.0029127182497177273,0.0037647226417902857,0.0029142301355022937,0.3348249570671441,0.5639753785530471,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,dec_s1,decoder,1,10,0.005501239141449332,0.0042035021353513,0.0037453304277732967,0.0031509030261076985,0.20730285319700106,0.5467090849853822,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,dec_s2,decoder,2,6,0.016616271808743477,0.01495887820298473,0.01335255584369103,0.008462262262279788,0.4994907514952302,0.6123432322053399,1.0,850,0.0,0.0,1.0,1.0,0.0
