case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,skipped,skip_reason
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,local,low_near,t1,q850_trace,precip_zwd,precip,-54.02252252252252,153.69000921133608,8.649820983919199e-07,1.0,850,0.0,0.027864195860949546,0.9999998905988052,0.9763587300184188,0.02364116316675796,4.563471794128418,4.54693603515625,4.559930801391602,-0.01653575897216797,-0.0035409927368164062,-0.006497383117675781,-0.010038375854492188,0.010038375854492188,False,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,local,low_near,t1,q850_trace,precip_only,precip,-54.02252252252252,153.69000921133608,8.649820983919199e-07,1.0,850,0.0,0.027864195860949546,0.9999998905988052,0.9763587300184188,0.02364116316675796,4.344748020172119,4.3238911628723145,4.352017879486084,-0.020856857299804688,0.007269859313964844,-0.014063358306884766,-0.006793498992919922,0.014063358306884766,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,local,hotspot,t1,q850_trace,precip_zwd,zwd,-44.02252252252252,168.69000921133608,6.917526479810476e-05,1.0,850,0.0,0.0,0.9999999330458277,0.9999999330458277,0.0,174.939208984375,176.8452911376953,176.65170288085938,1.9060821533203125,1.712493896484375,0.09679412841796875,1.8092880249023438,1.8092880249023438,False,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,local,hotspot,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,local,low_near,t1,q850_trace,precip_zwd,zwd,-54.02252252252252,153.69000921133608,8.649820983919199e-07,1.0,850,0.0,0.027864195860949546,0.9999998905988052,0.9763587300184188,0.02364116316675796,174.939208984375,174.92710876464844,174.94883728027344,-0.0121002197265625,0.0096282958984375,-0.0108642578125,-0.0012359619140625,0.0108642578125,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,local,low_near,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,hotspot,t1,q850_trace,precip_zwd,precip,-41.52252252252252,168.69000921133608,0.00014061319234315306,1.0,850,0.0,0.0017371510722415239,1.0,0.9985087234161214,0.0014912765838786437,4.563471794128418,4.989396095275879,4.1380767822265625,0.42592430114746094,-0.42539501190185547,0.4256596565246582,0.0002646446228027344,0.4256596565246582,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,hotspot,t1,q850_trace,precip_only,precip,-41.52252252252252,168.69000921133608,0.00014061319234315306,1.0,850,0.0,0.0017371510722415239,1.0,0.9985087234161214,0.0014912765838786437,4.344748020172119,4.855825901031494,3.736595630645752,0.511077880859375,-0.6081523895263672,0.5596151351928711,-0.048537254333496094,0.5596151351928711,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,low_near,t1,q850_trace,precip_zwd,precip,-61.52252252252252,168.69000921133608,6.812769242969807e-06,1.0,850,0.0,0.05104881769641495,1.0,0.9463936327269763,0.0536063672730237,4.563471794128418,4.539954662322998,4.565675735473633,-0.023517131805419922,0.0022039413452148438,-0.012860536575317383,-0.010656595230102539,0.012860536575317383,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,low_near,t1,q850_trace,precip_only,precip,-61.52252252252252,168.69000921133608,6.812769242969807e-06,1.0,850,0.0,0.05104881769641495,1.0,0.9463936327269763,0.0536063672730237,4.344748020172119,4.309835433959961,4.358999252319336,-0.0349125862121582,0.014251232147216797,-0.0245819091796875,-0.010330677032470703,0.0245819091796875,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,hotspot,t1,q850_trace,precip_zwd,zwd,-41.52252252252252,168.69000921133608,0.00014061319234315306,1.0,850,0.0,0.0017371510722415239,1.0,0.9985087234161214,0.0014912765838786437,174.939208984375,179.7360076904297,173.74771118164062,4.7967987060546875,-1.191497802734375,2.9941482543945312,1.8026504516601562,2.9941482543945312,True,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,hotspot,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,low_near,t1,q850_trace,precip_zwd,zwd,-61.52252252252252,168.69000921133608,6.812769242969807e-06,1.0,850,0.0,0.05104881769641495,1.0,0.9463936327269763,0.0536063672730237,174.939208984375,174.99774169921875,175.00584411621094,0.05853271484375,0.0666351318359375,-0.00405120849609375,0.06258392333984375,0.06258392333984375,False,,
new_zealand_alps_2020-12-23T00:00:00,new_zealand_alps,synoptic,low_near,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,hotspot,t1,q850_trace,precip_zwd,precip,45.47747747747748,234.36670733333705,7.029702828731388e-05,1.0,850,0.0,0.0,0.9999998694208252,0.9999999347104126,6.528959165734821e-08,4.188981056213379,4.355302810668945,3.7103867530822754,0.1663217544555664,-0.4785943031311035,0.32245802879333496,-0.15613627433776855,0.32245802879333496,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,hotspot,t1,q850_trace,precip_only,precip,45.47747747747748,234.36670733333705,7.029702828731388e-05,1.0,850,0.0,0.0,0.9999998694208252,0.9999999347104126,6.528959165734821e-08,3.801997661590576,4.070470333099365,3.188868761062622,0.26847267150878906,-0.6131289005279541,0.4408007860183716,-0.17232811450958252,0.4408007860183716,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,low_near,t1,q850_trace,precip_zwd,precip,60.47747747747748,231.86670733333705,7.133359645195014e-07,1.0,850,0.0,0.044391462306993645,1.000000091765404,0.9633342151988653,0.036665873201880014,4.188981056213379,4.18568754196167,4.188805103302002,-0.0032935142517089844,-0.00017595291137695312,-0.0015587806701660156,-0.0017347335815429688,0.0017347335815429688,False,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,low_near,t1,q850_trace,precip_only,precip,60.47747747747748,231.86670733333705,7.133359645195014e-07,1.0,850,0.0,0.044391462306993645,1.000000091765404,0.9633342151988653,0.036665873201880014,3.801997661590576,3.80426287651062,3.7994837760925293,0.0022652149200439453,-0.002513885498046875,0.00238955020904541,-0.00012433528900146484,0.00238955020904541,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,hotspot,t1,q850_trace,precip_zwd,zwd,45.47747747747748,234.36670733333705,7.029702828731388e-05,1.0,850,0.0,0.0,0.9999998694208252,0.9999999347104126,6.528959165734821e-08,99.20337677001953,101.3122329711914,96.64228820800781,2.108856201171875,-2.5610885620117188,2.334972381591797,-0.22611618041992188,2.334972381591797,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,hotspot,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,low_near,t1,q850_trace,precip_zwd,zwd,60.47747747747748,231.86670733333705,7.133359645195014e-07,1.0,850,0.0,0.044391462306993645,1.000000091765404,0.9633342151988653,0.036665873201880014,99.20337677001953,99.23538970947266,99.16973876953125,0.032012939453125,-0.03363800048828125,0.032825469970703125,-0.000812530517578125,0.032825469970703125,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,local,low_near,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,hotspot,t1,q850_trace,precip_zwd,precip,42.97747747747748,234.36670733333705,0.00011783451191149652,1.0,850,0.0,0.010269764175785593,0.9999999053844391,0.9924082366251916,0.007591669477537554,4.188981056213379,4.222050189971924,3.7309224605560303,0.03306913375854492,-0.45805859565734863,0.24556386470794678,-0.21249473094940186,0.24556386470794678,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,hotspot,t1,q850_trace,precip_only,precip,42.97747747747748,234.36670733333705,0.00011783451191149652,1.0,850,0.0,0.010269764175785593,0.9999999053844391,0.9924082366251916,0.007591669477537554,3.801997661590576,3.9110052585601807,3.236983299255371,0.10900759696960449,-0.5650143623352051,0.3370109796524048,-0.2280033826828003,0.3370109796524048,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,low_near,t1,q850_trace,precip_zwd,precip,62.97747747747748,229.36670733333705,6.609056072193198e-06,1.0,850,0.0,0.07667005887911608,1.0,0.9170733134680128,0.0829266865319872,4.188981056213379,4.180613994598389,4.192948341369629,-0.008367061614990234,0.00396728515625,-0.006167173385620117,-0.002199888229370117,0.006167173385620117,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,low_near,t1,q850_trace,precip_only,precip,62.97747747747748,229.36670733333705,6.609056072193198e-06,1.0,850,0.0,0.07667005887911608,1.0,0.9170733134680128,0.0829266865319872,3.801997661590576,3.7824177742004395,3.8132426738739014,-0.01957988739013672,0.011245012283325195,-0.015412449836730957,-0.004167437553405762,0.015412449836730957,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,hotspot,t1,q850_trace,precip_zwd,zwd,42.97747747747748,234.36670733333705,0.00011783451191149652,1.0,850,0.0,0.010269764175785593,0.9999999053844391,0.9924082366251916,0.007591669477537554,99.20337677001953,100.60128784179688,96.96322631835938,1.3979110717773438,-2.2401504516601562,1.81903076171875,-0.42111968994140625,1.81903076171875,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,hotspot,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,low_near,t1,q850_trace,precip_zwd,zwd,62.97747747747748,229.36670733333705,6.609056072193198e-06,1.0,850,0.0,0.07667005887911608,1.0,0.9170733134680128,0.0829266865319872,99.20337677001953,99.61231994628906,99.06460571289062,0.40894317626953125,-0.13877105712890625,0.27385711669921875,0.1350860595703125,0.27385711669921875,True,,
pacific_nw_coast_2020-10-10T12:00:00,pacific_nw_coast,synoptic,low_near,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pampas_2020-01-15T12:00:00,pampas,local,hotspot,t1,q850_trace,precip_zwd,precip,-37.02252252252252,299.67102679969264,0.00022615896887145936,1.0,850,0.0,0.059786607799852835,0.9999999256590032,0.9333698000702968,0.06663013054205667,1.3104612827301025,1.4197790622711182,1.3852331638336182,0.10931777954101562,0.07477188110351562,0.01727294921875,0.09204483032226562,0.09204483032226562,False,,
pampas_2020-01-15T12:00:00,pampas,local,hotspot,t1,q850_trace,precip_only,precip,-37.02252252252252,299.67102679969264,0.00022615896887145936,1.0,850,0.0,0.059786607799852835,0.9999999256590032,0.9333698000702968,0.06663013054205667,1.2121118307113647,1.3565763235092163,1.2470977306365967,0.14446449279785156,0.034985899925231934,0.054739296436309814,0.08972519636154175,0.08972519636154175,False,,
pampas_2020-01-15T12:00:00,pampas,local,low_near,t1,q850_trace,precip_zwd,precip,-44.52252252252252,314.67102679969264,4.959940270055085e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,1.3104612827301025,1.2975616455078125,1.3028714656829834,-0.012899637222290039,-0.007589817047119141,-0.0026549100875854492,-0.01024472713470459,0.01024472713470459,False,,
pampas_2020-01-15T12:00:00,pampas,local,low_near,t1,q850_trace,precip_only,precip,-44.52252252252252,314.67102679969264,4.959940270055085e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,1.2121118307113647,1.1947237253189087,1.2154028415679932,-0.017388105392456055,0.003291010856628418,-0.010339558124542236,-0.007048547267913818,0.010339558124542236,True,,
pampas_2020-01-15T12:00:00,pampas,local,hotspot,t1,q850_trace,precip_zwd,zwd,-37.02252252252252,299.67102679969264,0.00022615896887145936,1.0,850,0.0,0.059786607799852835,0.9999999256590032,0.9333698000702968,0.06663013054205667,218.17417907714844,219.93154907226562,215.7489471435547,1.7573699951171875,-2.42523193359375,2.0913009643554688,-0.33393096923828125,2.0913009643554688,True,,
pampas_2020-01-15T12:00:00,pampas,local,hotspot,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pampas_2020-01-15T12:00:00,pampas,local,low_near,t1,q850_trace,precip_zwd,zwd,-44.52252252252252,314.67102679969264,4.959940270055085e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,218.17417907714844,218.6441650390625,217.99282836914062,0.4699859619140625,-0.1813507080078125,0.3256683349609375,0.144317626953125,0.3256683349609375,True,,
pampas_2020-01-15T12:00:00,pampas,local,low_near,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
pampas_2020-01-15T12:00:00,pampas,synoptic,hotspot,t1,q850_trace,precip_zwd,precip,-37.02252252252252,299.67102679969264,0.00044189963955432177,1.0,850,0.0,0.04090821996551063,1.0,0.9339860197623153,0.06601398023768469,1.3104612827301025,1.2011655569076538,1.6391355991363525,-0.10929572582244873,0.32867431640625,-0.21898502111434937,0.10968929529190063,0.21898502111434937,True,,
pampas_2020-01-15T12:00:00,pampas,synoptic,hotspot,t1,q850_trace,precip_only,precip,-37.02252252252252,299.67102679969264,0.00044189963955432177,1.0,850,0.0,0.04090821996551063,1.0,0.9339860197623153,0.06601398023768469,1.2121118307113647,1.1468994617462158,1.4637444019317627,-0.06521236896514893,0.25163257122039795,-0.15842247009277344,0.09321010112762451,0.15842247009277344,True,,
