case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign
aquitaine_basin_2020-10-02T06:00:00,aquitaine_basin,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,42.47747747747748,359.3983431897952,0.0001375502033624798,1.0,850,0.0,5.900575306092344e-05,1.0,0.9999970431795929,2.956820407020636e-06,4.769473075866699,5.869563102722168,3.968526601791382,1.1000900268554688,-0.8009464740753174,0.9505182504653931,0.14957177639007568,0.9505182504653931,True
aquitaine_basin_2020-10-02T06:00:00,aquitaine_basin,synoptic,low_near,t1,q850_trace,precip_zwd,q850,57.47747747747748,19.39834318979516,1.4005709090270102e-05,1.0,850,0.0,0.002021331498365732,1.0,0.9995059333881956,0.0004940666118043679,4.769473075866699,4.787896633148193,4.749706745147705,0.01842355728149414,-0.01976633071899414,0.01909494400024414,-0.00067138671875,0.01909494400024414,True
atlas_2020-03-19T18:00:00,atlas,local,hotspot,t1,q850_trace,precip_zwd,q850,32.47747747747748,354.79529172445586,8.581561996834353e-05,1.0,850,0.0,0.006802721088435374,1.0000000785500416,0.994631026103907,0.005369052024395441,6.197420597076416,6.857410907745361,4.732945442199707,0.6599903106689453,-1.464475154876709,1.0622327327728271,-0.40224242210388184,1.0622327327728271,True
atlas_2020-03-19T18:00:00,atlas,local,low_near,t1,q850_trace,precip_zwd,q850,42.47747747747748,7.295291724455865,1.2054101716785226e-06,1.0,850,0.0,0.045686141304347824,1.0,0.9528711349024138,0.04712886509758618,6.197420597076416,6.197473526000977,6.195072174072266,5.2928924560546875e-05,-0.0023484230041503906,0.0012006759643554688,-0.0011477470397949219,0.0012006759643554688,True
atlas_2020-03-19T18:00:00,atlas,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,34.97747747747748,352.29529172445586,0.00014367081166710705,1.0,850,0.0,0.005441195751933919,0.9999998940356032,0.996696665893833,0.003303228491794805,6.197420597076416,6.939445972442627,4.562513828277588,0.7420253753662109,-1.6349067687988281,1.1884660720825195,-0.4464406967163086,1.1884660720825195,True
atlas_2020-03-19T18:00:00,atlas,synoptic,low_near,t1,q850_trace,precip_zwd,q850,49.97747747747748,357.29529172445586,9.972637599275913e-06,1.0,850,0.0,0.049004475999382624,0.999999916833803,0.9354369169425844,0.06456300526067824,6.197420597076416,6.213929176330566,6.171398162841797,0.01650857925415039,-0.02602243423461914,0.021265506744384766,-0.004756927490234375,0.021265506744384766,True
california_2020-12-13T18:00:00,california,local,hotspot,t1,q850_trace,precip_zwd,q850,38.22747747747748,234.32046739745803,5.3696090617449954e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,4.889678955078125,5.561232089996338,3.7376396656036377,0.6715531349182129,-1.1520392894744873,0.9117962121963501,-0.2402430772781372,0.9117962121963501,True
california_2020-12-13T18:00:00,california,local,low_near,t1,q850_trace,precip_zwd,q850,50.72747747747748,249.32046739745803,1.0240736401101458e-06,1.0,850,0.0,0.24030329542140566,1.0,0.4924827299386906,0.5075172700613094,4.889678955078125,4.8919196128845215,4.889253616333008,0.0022406578063964844,-0.0004253387451171875,0.001332998275756836,0.0009076595306396484,0.001332998275756836,True
california_2020-12-13T18:00:00,california,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,35.72747747747748,234.32046739745803,0.0001035681925714016,1.0,850,0.0,0.059377333376619164,1.0,0.9463825186660574,0.05361748133394267,4.889678955078125,5.696845531463623,3.6367132663726807,0.807166576385498,-1.2529656887054443,1.0300661325454712,-0.22289955615997314,1.0300661325454712,True
california_2020-12-13T18:00:00,california,synoptic,low_near,t1,q850_trace,precip_zwd,q850,50.72747747747748,254.32046739745803,8.604457434557844e-06,1.0,850,0.0,0.22380313425656345,1.0,0.5443047756764156,0.45569522432358445,4.889678955078125,4.916027069091797,4.867682933807373,0.026348114013671875,-0.021996021270751953,0.024172067642211914,0.002176046371459961,0.024172067642211914,True
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,local,hotspot,t1,q850_trace,precip_zwd,q850,-43.52252252252252,172.2004848495109,6.510733510367572e-05,1.0,850,0.0,0.004004004004004004,1.0,0.9969186910641771,0.0030813089358229205,4.518150806427002,5.495436668395996,2.5531606674194336,0.9772858619689941,-1.9649901390075684,1.4711380004882812,-0.4938521385192871,1.4711380004882812,True
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,local,low_near,t1,q850_trace,precip_zwd,q850,-56.02252252252252,184.7004848495109,9.628978432374424e-07,1.0,850,0.0,0.03602676273803397,1.0,0.9499751468604074,0.05002485313959263,4.518150806427002,4.51700496673584,4.521032810211182,-0.0011458396911621094,0.0028820037841796875,-0.0020139217376708984,0.0008680820465087891,0.0020139217376708984,True
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,-46.02252252252252,172.2004848495109,0.00011775813618442044,1.0,850,0.0,0.024850756629182284,0.999999910201222,0.9735137606300426,0.026486151949603486,4.518150806427002,5.715419769287109,2.2316360473632812,1.1972689628601074,-2.2865147590637207,1.741891860961914,-0.5446228981018066,1.741891860961914,True
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,synoptic,low_near,t1,q850_trace,precip_zwd,q850,-61.02252252252252,172.2004848495109,8.954866643762216e-06,1.0,850,0.0,0.07634327346005541,1.0,0.9170534840505181,0.08294651594948192,4.518150806427002,4.554008960723877,4.470648765563965,0.035858154296875,-0.04750204086303711,0.041680097579956055,-0.005821943283081055,0.041680097579956055,True
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,local,hotspot,t1,q850_trace,precip_zwd,q850,41.97747747747748,239.69295654039695,7.42684060242027e-05,1.0,850,0.0,0.01574264202600958,1.0,0.9932579096003352,0.006742090399664751,4.500528812408447,4.950627326965332,4.019407749176025,0.45009851455688477,-0.4811210632324219,0.4656097888946533,-0.015511274337768555,0.4656097888946533,True
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,local,low_near,t1,q850_trace,precip_zwd,q850,51.97747747747748,257.19295654039695,1.0740226343841641e-06,1.0,850,0.0,0.15402070628279677,1.0,0.7489339770670717,0.2510660229329284,4.500528812408447,4.5007123947143555,4.502097129821777,0.00018358230590820312,0.0015683174133300781,-0.0006923675537109375,0.0008759498596191406,0.0008759498596191406,False
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,39.47747747747748,239.69295654039695,0.00013925741950515658,1.0,850,0.0,0.04031361896530436,1.0,0.949947064828067,0.050052935171933,4.500528812408447,5.091269016265869,3.8034963607788086,0.5907402038574219,-0.6970324516296387,0.6438863277435303,-0.0531461238861084,0.6438863277435303,True
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,synoptic,low_near,t1,q850_trace,precip_zwd,q850,59.47747747747748,239.69295654039695,1.033178068610141e-05,1.0,850,0.0,0.1635890872894956,1.0,0.7304910522845454,0.26950894771545464,4.500528812408447,4.514510154724121,4.492342472076416,0.013981342315673828,-0.00818634033203125,0.011083841323852539,0.002897500991821289,0.011083841323852539,True
caspian_lowland_2020-09-19T06:00:00,caspian_lowland,local,hotspot,t1,q850_trace,precip_zwd,q850,45.97747747747748,45.57755541383499,8.502865966875106e-05,1.0,850,0.0,0.00512,1.0,0.9982715904629014,0.0017284095370986533,3.9634947776794434,4.867809295654297,3.0441009998321533,0.9043145179748535,-0.91939377784729,0.9118541479110718,-0.007539629936218262,0.9118541479110718,True
