case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,synoptic,hotspot,t1,q850_trace,precip_only,q850,-46.02252252252252,172.2004848495109,0.00011775813618442044,,4.565371036529541,5.767221450805664,2.026822805404663,1.201850414276123,-2.538548231124878,1.8701993227005005,-0.6683489084243774,1.8701993227005005,True,1.0,850,0.0,0.024850756629182284,0.999999910201222,0.9735137606300426,0.026486151949603486
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,synoptic,low_near,t1,precip_trace,precip_only,q850,-61.02252252252252,172.2004848495109,8.954866643762216e-06,2.11,4.565371036529541,4.565504550933838,4.565183639526367,0.000133514404296875,-0.00018739700317382812,0.00016045570373535156,-2.6941299438476562e-05,0.00016045570373535156,True,,,,,,,
canterbury_plain_2020-02-22T06:00:00,canterbury_plain,synoptic,low_near,t1,q850_trace,precip_only,q850,-61.02252252252252,172.2004848495109,8.954866643762216e-06,,4.565371036529541,4.601867198944092,4.511790752410889,0.03649616241455078,-0.053580284118652344,0.04503822326660156,-0.008542060852050781,0.04503822326660156,True,1.0,850,0.0,0.07634327346005541,1.0,0.9170534840505181,0.08294651594948192
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,local,hotspot,t1,precip_trace,precip_only,q850,41.97747747747748,239.69295654039695,7.42684060242027e-05,2.11,4.549033164978027,4.558157920837402,4.548933029174805,0.009124755859375,-0.00010013580322265625,0.004612445831298828,0.004512310028076172,0.004612445831298828,True,,,,,,,
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,local,hotspot,t1,q850_trace,precip_only,q850,41.97747747747748,239.69295654039695,7.42684060242027e-05,,4.549033164978027,5.008613109588623,4.065053939819336,0.4595799446105957,-0.4839792251586914,0.47177958488464355,-0.012199640274047852,0.47177958488464355,True,1.0,850,0.0,0.01574264202600958,1.0,0.9932579096003352,0.006742090399664751
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,local,low_near,t1,precip_trace,precip_only,q850,51.97747747747748,257.19295654039695,1.0740226343841641e-06,2.11,4.549033164978027,4.548079967498779,4.54746675491333,-0.0009531974792480469,-0.0015664100646972656,0.0003066062927246094,-0.0012598037719726562,0.0012598037719726562,False,,,,,,,
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,local,low_near,t1,q850_trace,precip_only,q850,51.97747747747748,257.19295654039695,1.0740226343841641e-06,,4.549033164978027,4.549232482910156,4.548783302307129,0.00019931793212890625,-0.0002498626708984375,0.00022459030151367188,-2.5272369384765625e-05,0.00022459030151367188,True,1.0,850,0.0,0.15402070628279677,1.0,0.7489339770670717,0.2510660229329284
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,synoptic,hotspot,t1,precip_trace,precip_only,q850,39.47747747747748,239.69295654039695,0.00013925741950515658,2.11,4.549033164978027,4.560142993927002,4.548259735107422,0.01110982894897461,-0.0007734298706054688,0.005941629409790039,0.00516819953918457,0.005941629409790039,True,,,,,,,
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,synoptic,hotspot,t1,q850_trace,precip_only,q850,39.47747747747748,239.69295654039695,0.00013925741950515658,,4.549033164978027,5.163060188293457,3.8473050594329834,0.6140270233154297,-0.701728105545044,0.6578775644302368,-0.04385054111480713,0.6578775644302368,True,1.0,850,0.0,0.04031361896530436,1.0,0.949947064828067,0.050052935171933
cascades_sierra_2020-11-13T18:00:00,cascades_sierra,synoptic,low_near,t1,precip_trace,precip_only,q850,59.47747747747748,239.69295654039695,1.033178068610141e-05,2.11,4.549033164978027,4.545782089233398,4.548685073852539,-0.0032510757446289062,-0.00034809112548828125,-0.0014514923095703125,-0.0017995834350585938,0.0017995834350585938,False,,,,,,,
