case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,stage_name,family,stage_index,n_blocks,plus_delta_rms_mean,minus_delta_rms_mean,contrast_rms_mean,common_rms_mean,signed_cosine_mean,contrast_share_mean
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,enc_s0,encoder,0,6,0.008283283716688553,0.007374817660699288,0.007531251447896163,0.0021837285215345523,0.8562531330127849,0.7747624252351217
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,enc_s1,encoder,1,10,0.007464397512376308,0.004473934648558497,0.005151451705023647,0.0033230175729840996,0.5060477090939329,0.619323773550443
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,enc_s2,encoder,2,8,0.0036274539306759834,0.002019160136114806,0.0024273861199617386,0.0016509119304828346,0.44420406267204765,0.5954406839972386
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,dec_s0,decoder,0,8,0.005194434663280845,0.0027969010698143393,0.0033490360947325826,0.0024870931811165065,0.36136380923490463,0.5742265209775974
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,dec_s1,decoder,1,10,0.0053884940687567,0.004227597941644489,0.003742791689001024,0.0030711944447830318,0.23541514817916215,0.5535426667101425
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,dec_s2,decoder,2,6,0.015799948014318943,0.014507805618147055,0.012905167260517677,0.007968923853089413,0.5215045601425486,0.6183376716321268
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.2475368976593018,3.2879536151885986,-0.03998851776123047,0.00042819976806640625,-0.020208358764648438,-0.01978015899658203,0.020208358764648438,True,enc_s0,encoder,0,6,0.008378891584773859,0.007331071188673377,0.007557052420452237,0.0022040554128276804,0.8567188326885272,0.7739784685222181
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.2475368976593018,3.2879536151885986,-0.03998851776123047,0.00042819976806640625,-0.020208358764648438,-0.01978015899658203,0.020208358764648438,True,enc_s1,encoder,1,10,0.007767728064209223,0.004454806889407336,0.005252438085153699,0.003491882258094847,0.4864121130019764,0.6120625565074641
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.2475368976593018,3.2879536151885986,-0.03998851776123047,0.00042819976806640625,-0.020208358764648438,-0.01978015899658203,0.020208358764648438,True,enc_s2,encoder,2,8,0.004003553796792403,0.00210290594259277,0.002612066047731787,0.0018447728361934423,0.4181966227400802,0.5864215327968142
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.2475368976593018,3.2879536151885986,-0.03998851776123047,0.00042819976806640625,-0.020208358764648438,-0.01978015899658203,0.020208358764648438,True,dec_s0,decoder,0,8,0.006070319504942745,0.0029127182497177273,0.0037647226417902857,0.0029142301355022937,0.3348249570671441,0.5639753785530471
